GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
snips,snips,CampaignContainer,0,132,0,8,0,29,0,12,0,8
snips,snips,CollectionsAggregator,0,36,0,2,0,7,0,5,0,4
snips,snips,RowIndices,0,12,0,0,0,5,0,1,0,1
snips,snips,RowValues,0,27,0,0,0,5,0,1,0,1
snips,snips,BiddingStrategyContainer,0,11,0,0,0,4,0,1,0,1
snips,snips,CampaignBidStrategyAggregator,0,65,0,0,0,19,0,7,0,7
snips,snips,CampaignBidStrategyAdGroupContainer,0,41,0,2,0,9,0,4,0,3
